area,quartos,suite,banheiros,vagas,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total,neighborhood,score,price_per_sqm,rent_level,price_per_room,price_per_bathroom,rent_to_condo_ratio,rooms_per_area,bathrooms_per_area,luxury_score,cluster
25.0,1.0,1,1.0,0.0,0,1,1,3500,550.0,0,45.0,90.0,4185,brooklin,167.4,167.4,Low,4185.0,4185.0,6.363636363636363,0.04,0.04,4,0
116.0,3.0,2,3.0,2.0,1,1,1,10000,1300.0,0,127.0,259.0,11686,brooklin,100.74137931034484,100.74137931034483,Medium,3895.3333333333335,3895.3333333333335,7.6923076923076925,0.02586206896551724,0.02586206896551724,5,4
28.0,1.0,1,1.0,0.0,0,1,1,2950,760.0,0,38.0,76.0,3824,brooklin,136.57142857142858,136.57142857142858,Low,3824.0,3824.0,3.8815789473684212,0.03571428571428571,0.03571428571428571,4,0
26.0,1.0,0,1.0,0.0,1,0,1,2700,550.0,1,35.0,69.0,3355,brooklin,129.03846153846155,129.03846153846155,Low,3355.0,3355.0,4.909090909090909,0.038461538461538464,0.038461538461538464,1,0
32.0,1.0,0,1.0,1.0,0,1,1,3680,600.0,100,47.0,95.0,4522,brooklin,141.3125,141.3125,Low,4522.0,4522.0,6.133333333333334,0.03125,0.03125,2,0
44.0,1.0,1,1.0,1.0,1,1,1,4750,800.0,196,61.0,123.0,5930,brooklin,134.77272727272728,134.77272727272728,Low,5930.0,5930.0,5.9375,0.022727272727272728,0.022727272727272728,4,2
74.0,2.0,1,2.0,1.0,1,0,1,7000,1324.0,251,89.0,181.0,8845,brooklin,119.52702702702705,119.52702702702703,Low,4422.5,4422.5,5.287009063444109,0.02702702702702703,0.02702702702702703,3,2
30.0,1.0,1,1.0,0.0,0,1,1,3300,308.0,74,42.0,85.0,3809,brooklin,126.96666666666668,126.96666666666667,Low,3809.0,3809.0,10.714285714285714,0.03333333333333333,0.03333333333333333,4,0
33.0,1.0,1,1.0,1.0,0,1,1,3100,1035.0,7,40.0,80.0,4262,brooklin,129.15151515151516,129.15151515151516,Low,4262.0,4262.0,2.995169082125604,0.030303030303030304,0.030303030303030304,4,0
118.0,4.0,1,3.0,2.0,1,0,1,10000,2070.0,617,127.0,259.0,13073,brooklin,110.78813559322032,110.78813559322033,Medium,3268.25,4357.666666666667,4.830917874396135,0.03389830508474576,0.025423728813559324,4,4
