url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/892800532/alugar/kitnet-1-quarto-brooklin-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A9%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 34m², 1 quarto e 1 vaga",Condomínios em São Paulo,34 m²,34,1,1,1.0,12° a 15° andar,sim,sim,sim,R$ 3.450,R$ 630,R$ 7,R$ 44,R$ 89,R$ 4.220
https://www.quintoandar.com.br/imovel/895056721/alugar/apartamento-2-quartos-brooklin-sao-paulo?from_route=%22search_results%22&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A41%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 67m², 2 quartos e 2 vagas",Condomínios em São Paulo,67 m²,67,1,2,2.0,20° a 23° andar,sim,não,não,R$ 5.700,R$ 1.100,R$ 184,R$ 73,R$ 147,R$ 7.204
https://www.quintoandar.com.br/imovel/895072824/alugar/apartamento-1-quarto-brooklin-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A24%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 44m², 1 quarto e 1 vaga",Rua Soberana,44 m²,44,1,1,1.0,20° a 23° andar,sim,sim,sim,R$ 4.750,R$ 800,R$ 196,R$ 61,R$ 123,R$ 5.930
https://www.quintoandar.com.br/imovel/893609830/alugar/casa-3-quartos-brooklin-sao-paulo?from_route=%22search_results%22&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A69%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 195m², 3 quartos e 2 vagas",Avenida Santo Amaro,195 m²,195,0,2,2.0,,sim,não,sim,R$ 3.500,Incluso,R$ 453,R$ 58,R$ 90,R$ 4.101
https://www.quintoandar.com.br/imovel/895037393/alugar/kitnet-1-quarto-brooklin-sao-paulo?from_route=%22search_results%22&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A72%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 28m², 1 quarto e sem vaga",Rua Eleutério,28 m²,28,1,1,,24° a 27° andar,sim,sim,sim,R$ 4.200,R$ 650,R$ 8,R$ 54,R$ 108,R$ 5.020
https://www.quintoandar.com.br/imovel/894495360/alugar/apartamento-1-quarto-brooklin-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A75%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30 m²,30,1,1,,12° a 15° andar,não,sim,sim,R$ 3.300,R$ 308,R$ 74,R$ 42,R$ 85,R$ 3.809
https://www.quintoandar.com.br/imovel/894147542/alugar/apartamento-2-quartos-brooklin-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A6%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 69m², 2 quartos e 1 vaga",Condomínios em São Paulo,69 m²,69,0,2,1.0,12° a 15° andar,sim,não,sim,R$ 2.900,R$ 1.237,R$ 192,R$ 37,R$ 75,R$ 4.441
https://www.quintoandar.com.br/imovel/894955223/alugar/kitnet-1-quarto-brooklin-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 32m², 1 quarto e 1 vaga",Avenida Portugal,32 m²,32,0,1,1.0,16° a 19° andar,não,sim,sim,R$ 3.680,R$ 600,R$ 100,R$ 47,R$ 95,R$ 4.522
https://www.quintoandar.com.br/imovel/893423112/alugar/apartamento-3-quartos-brooklin-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A5%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 67m², 3 quartos e 1 vaga",Rua Álvaro Luís Roberto de Assumpção,67 m²,67,0,1,1.0,4° a 7° andar,sim,não,sim,R$ 2.500,R$ 1.500,R$ 179,R$ 32,R$ 64,R$ 4.275
https://www.quintoandar.com.br/imovel/895030167/alugar/casa-3-quartos-brooklin-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22359669f9-7a2b-47c1-addc-d64064bee13a%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A77%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 500m², 3 quartos e 7 vagas",Rua Tomé Portes,500 m²,500,1,3,7.0,,sim,não,não,R$ 8.000,Incluso,R$ 2.750,R$ 133,R$ 207,R$ 11.090
