url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894550873/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A1%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 25m², 1 quarto e 1 vaga",Condomínios em São Paulo,25 m²,25,0,1,1.0,20° a 23° andar,sim,sim,sim,R$ 5.000,R$ 500,R$ 0,R$ 64,R$ 129,R$ 5.693
https://www.quintoandar.com.br/imovel/894228246/alugar/apartamento-2-quartos-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A85%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 62m², 2 quartos e 1 vaga",Condomínios em São Paulo,62 m²,62,1,2,1.0,12° a 15° andar,sim,sim,sim,R$ 5.900,R$ 1.100,R$ 0,R$ 75,R$ 152,R$ 7.227
https://www.quintoandar.com.br/imovel/894989873/alugar/apartamento-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A86%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 37m², 1 quarto e sem vaga",Condomínios em São Paulo,37 m²,37,0,1,,Até 3° andar,sim,não,sim,R$ 2.125,R$ 410,R$ 0,R$ 27,R$ 55,R$ 2.617
https://www.quintoandar.com.br/imovel/894444401/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A95%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Rua Martins,25 m²,25,1,1,,Até 3° andar,não,sim,sim,R$ 3.000,R$ 600,R$ 0,R$ 39,R$ 77,R$ 3.716
https://www.quintoandar.com.br/imovel/895098662/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A40%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 26m², 1 quarto e sem vaga",Condomínios em São Paulo,26 m²,26,1,1,,4° a 7° andar,não,sim,sim,R$ 3.100,R$ 759,R$ 0,R$ 40,R$ 80,R$ 3.979
https://www.quintoandar.com.br/imovel/892963331/alugar/apartamento-2-quartos-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A41%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 74m², 2 quartos e 1 vaga",Condomínios em São Paulo,74 m²,74,0,2,1.0,Até 3° andar,sim,sim,não,R$ 2.550,R$ 1.250,R$ 167,R$ 33,R$ 66,R$ 4.066
https://www.quintoandar.com.br/imovel/893664179/alugar/apartamento-2-quartos-butanta-sao-paulo?from_route=%22search_results%22&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A68%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 80m², 2 quartos e 2 vagas",Avenida Engenheiro Heitor Antônio Eiras Garcia,80 m²,80,1,2,2.0,16° a 19° andar,sim,não,não,R$ 4.400,R$ 960,R$ 285,R$ 56,R$ 113,R$ 5.814
https://www.quintoandar.com.br/imovel/894984352/alugar/apartamento-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A78%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 32m², 1 quarto e sem vaga",Avenida Professor Francisco Morato,32 m²,32,0,1,,24° a 27° andar,sim,sim,sim,R$ 4.200,R$ 380,R$ 0,R$ 54,R$ 108,R$ 4.742
https://www.quintoandar.com.br/imovel/895100328/alugar/apartamento-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A11%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 31m², 1 quarto e sem vaga",Rua Alvarenga,31 m²,31,1,1,,12° a 15° andar,sim,não,sim,R$ 3.000,R$ 430,R$ 80,R$ 39,R$ 77,R$ 3.626
https://www.quintoandar.com.br/imovel/895028386/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22d5f7b0f5-6a8e-4df9-87a5-a572c59ba2bb%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A5%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25 m²,25,0,1,,4° a 7° andar,sim,sim,sim,R$ 2.750,R$ 554,R$ 67,R$ 35,R$ 71,R$ 3.477
