url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895079957/alugar/apartamento-1-quarto-parque-industrial-tomas-edson-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A80%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 27m², 1 quarto e sem vaga",Rua Rubens Porta Nova,27,1,1,1,,Até 3° andar,sim,não,sim,R$ 1.550,R$ 540,R$ 0,R$ 20,R$ 40,R$ 2.150
https://www.quintoandar.com.br/imovel/893820179/alugar/casa-1-quarto-casa-verde-media-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A87%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 35m², 1 quarto e sem vaga",Rua Galiléia,35,1,0,1,,,sim,não,não,R$ 735,R$ 0,R$ 108,R$ 13,R$ 19,R$ 875
https://www.quintoandar.com.br/imovel/894725890/alugar/apartamento-1-quarto-casa-verde-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A39%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 31m², 1 quarto e sem vaga",Rua Marambaia,31,1,1,1,,8° a 11° andar,sim,não,não,R$ 2.100,R$ 360,R$ 0,R$ 27,R$ 54,R$ 2.541
https://www.quintoandar.com.br/imovel/895106493/alugar/apartamento-1-quarto-casa-verde-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A11%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 70m², 1 quarto e sem vaga",Rua João Rudge,70,1,0,1,,Até 3° andar,sim,não,não,R$ 1.900,R$ 350,R$ 125,R$ 25,R$ 49,R$ 2.449
https://www.quintoandar.com.br/imovel/894820433/alugar/apartamento-3-quartos-casa-verde-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 90m², 3 quartos e 1 vaga",Condomínios em São Paulo,90,3,0,2,1.0,16° a 19° andar,sim,não,não,R$ 1.840,R$ 902,R$ 75,R$ 24,R$ 47,R$ 2.888
https://www.quintoandar.com.br/imovel/893019731/alugar/casa-2-quartos-vila-baruel-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A59%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 210m², 2 quartos e 8 vagas",Rua Engenheiro Franco Zampari,210,2,0,2,8.0,,sim,não,não,R$ 4.000,Incluso,R$ 170,R$ 67,R$ 103,R$ 4.340
https://www.quintoandar.com.br/imovel/894994788/alugar/apartamento-1-quarto-casa-verde-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A16%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 29m², 1 quarto e sem vaga",Rua Marambaia,29,1,0,1,,4° a 7° andar,sim,não,não,R$ 2.199,R$ 350,R$ 0,R$ 28,R$ 56,R$ 2.633
https://www.quintoandar.com.br/imovel/895049500/alugar/apartamento-2-quartos-varzea-da-barra-funda-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A88%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 35m², 2 quartos e 1 vaga",Rua Rubens Porta Nova,35,2,0,1,1.0,16° a 19° andar,sim,não,sim,R$ 2.450,R$ 570,R$ 42,R$ 32,R$ 63,R$ 3.157
https://www.quintoandar.com.br/imovel/893456369/alugar/casa-1-quarto-casa-verde-media-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A84%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 40m², 1 quarto e sem vaga",Rua Belisário Campanha,40,1,0,1,,,não,não,não,R$ 1.300,Incluso,R$ 0,R$ 22,R$ 33,R$ 1.355
https://www.quintoandar.com.br/imovel/893606796/alugar/kitnet-1-quarto-casa-verde-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22eafd1ad3-16f3-4529-b445-4ee4fd0f09af%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A10%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30,1,1,1,,8° a 11° andar,não,sim,não,R$ 2.379,R$ 255,R$ 97,R$ 31,R$ 61,R$ 2.823
