url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894765650/alugar/casa-1-quarto-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A12%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 50m², 1 quarto e 1 vaga",Rua Narciso Araújo,50,1,0,1,1.0,,não,não,sim,R$ 1.300,Incluso,R$ 150,R$ 22,R$ 33,R$ 1.505
https://www.quintoandar.com.br/imovel/895077064/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A88%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 52m², 2 quartos e sem vaga",Condomínios em São Paulo,52,2,1,2,,Até 3° andar,sim,não,não,R$ 1.767,R$ 200,R$ 0,R$ 23,R$ 45,R$ 2.035
https://www.quintoandar.com.br/imovel/895082634/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A41%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 41m², 2 quartos e sem vaga",Rua Lagoa do Campelo,41,2,0,1,,Até 3° andar,sim,sim,não,R$ 1.400,R$ 411,R$ 0,R$ 18,R$ 36,R$ 1.865
https://www.quintoandar.com.br/imovel/893243986/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A36%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 39m², 2 quartos e sem vaga",Condomínios em São Paulo,39,2,0,1,,Até 3° andar,sim,não,não,R$ 1.250,Incluso,R$ 0,R$ 16,R$ 32,R$ 1.460
https://www.quintoandar.com.br/imovel/894260945/alugar/casa-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A67%2C%22personalization%22%3Atrue%7D,success,"Casa de condomínio para alugar com 80m², 2 quartos e 2 vagas",Condomínios em São Paulo,80,2,2,3,2.0,,sim,não,sim,R$ 2.500,R$ 200,R$ 90,R$ 42,R$ 64,R$ 2.896
https://www.quintoandar.com.br/imovel/893869082/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 49m², 2 quartos e 1 vaga",Condomínios em São Paulo,49,2,0,1,1.0,8° a 11° andar,sim,não,não,R$ 1.700,R$ 515,R$ 0,R$ 22,R$ 44,R$ 2.281
https://www.quintoandar.com.br/imovel/894751298/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A57%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 2 quartos e sem vaga",Rua Ibipitanga,38,2,0,1,,Até 3° andar,sim,não,não,R$ 1.250,R$ 0,R$ 0,R$ 16,R$ 32,R$ 1.298
https://www.quintoandar.com.br/imovel/893940783/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A50%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 41m², 2 quartos e sem vaga",Rua Lagoa do Campelo,41,2,0,1,,4° a 7° andar,sim,sim,não,R$ 2.200,R$ 380,R$ 0,R$ 28,R$ 56,R$ 2.664
https://www.quintoandar.com.br/imovel/895092995/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A23%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e sem vaga",Condomínios em São Paulo,40,2,0,1,,12° a 15° andar,não,não,sim,R$ 1.400,R$ 560,R$ 0,R$ 18,R$ 36,R$ 2.014
https://www.quintoandar.com.br/imovel/895101463/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A15%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e 1 vaga",Rua Senador Georgino Avelino,40,2,0,1,1.0,Até 3° andar,não,não,não,R$ 1.660,R$ 240,R$ 85,R$ 22,R$ 42,R$ 2.049
https://www.quintoandar.com.br/imovel/894374590/alugar/apartamento-2-quartos-itaquera-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%2262cd92b7-6074-4f03-a271-3262cdb6e24f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A48%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 32m², 2 quartos e sem vaga",Condomínios em São Paulo,32,2,0,1,,4° a 7° andar,sim,não,sim,R$ 1.200,R$ 380,R$ 0,R$ 16,R$ 31,R$ 1.627
