url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895069561/alugar/casa-2-quartos-mandaqui-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A9%2C%22personalization%22%3Afalse%7D,success,"Casa para alugar com 70m², 2 quartos e 1 vaga",Rua Gregório Lopes,70 m²,70,0,1,1.0,,não,não,não,R$ 2.700,Incluso,R$ 129,R$ 45,R$ 69,R$ 2.943
https://www.quintoandar.com.br/imovel/893426023/alugar/casa-3-quartos-jardim-paraiso-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A25%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 325m², 3 quartos e 6 vagas",Rua Clóvis Cunha Canto,325 m²,325,0,5,6.0,,sim,não,não,R$ 2.780,Incluso,R$ 542,R$ 46,R$ 72,R$ 3.440
https://www.quintoandar.com.br/imovel/894562890/alugar/casa-2-quartos-mandaqui-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A8%2C%22personalization%22%3Afalse%7D,success,"Casa para alugar com 130m², 2 quartos e 2 vagas",Rua Benjamin Ferreira,130 m²,130,0,1,2.0,,sim,não,não,R$ 2.900,Incluso,R$ 10,R$ 48,R$ 75,R$ 3.033
https://www.quintoandar.com.br/imovel/894611209/alugar/casa-1-quarto-mandaqui-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Afalse%7D,success,"Casa para alugar com 30m², 1 quarto e sem vaga",Rua Benjamin Ferreira,30 m²,30,0,1,,,não,não,não,R$ 915,Incluso,R$ 46,R$ 16,R$ 23,R$ 1.000
https://www.quintoandar.com.br/imovel/895069561/alugar/casa-2-quartos-mandaqui-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A9%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 70m², 2 quartos e 1 vaga",Rua Gregório Lopes,70 m²,70,0,1,1.0,,não,não,não,R$ 2.700,Incluso,R$ 129,R$ 45,R$ 69,R$ 2.943
https://www.quintoandar.com.br/imovel/893338391/alugar/apartamento-2-quartos-vila-guaca-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A93%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 60m², 2 quartos e 1 vaga",Condomínios em São Paulo,60 m²,60,1,2,1.0,12° a 15° andar,não,não,não,R$ 2.400,R$ 680,R$ 7,R$ 31,R$ 62,R$ 3.180
https://www.quintoandar.com.br/imovel/894419070/alugar/apartamento-3-quartos-vila-aurora-zona-norte-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A88%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 115m², 3 quartos e 2 vagas",Condomínios em São Paulo,115 m²,115,1,2,2.0,4° a 7° andar,sim,não,não,R$ 2.970,R$ 1.098,R$ 103,R$ 38,R$ 76,R$ 4.285
https://www.quintoandar.com.br/imovel/893409866/alugar/casa-2-quartos-mandaqui-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 75m², 2 quartos e sem vaga",Rua Mariquinha Viana,75 m²,75,0,1,,,não,não,não,R$ 1.250,Incluso,R$ 42,R$ 21,R$ 32,R$ 1.345
https://www.quintoandar.com.br/imovel/895076919/alugar/apartamento-2-quartos-jardim-sao-paulozona-norte-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A67%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 59m², 2 quartos e 2 vagas",Condomínios em São Paulo,59 m²,59,0,1,2.0,Até 3° andar,sim,não,não,R$ 2.000,R$ 960,R$ 304,R$ 26,R$ 51,R$ 3.341
https://www.quintoandar.com.br/imovel/895065836/alugar/apartamento-3-quartos-santana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%222be6c2c1-42eb-49e5-a3cc-969f78af5c08%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A50%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 103m², 3 quartos e 1 vaga",Condomínios em São Paulo,103 m²,103,2,3,1.0,Até 3° andar,sim,não,não,R$ 4.080,R$ 750,R$ 0,R$ 52,R$ 105,R$ 4.987
