url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894857690/alugar/apartamento-1-quarto-moema-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A67%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 45m², 1 quarto e 1 vaga",Condomínios em São Paulo,45,1,1,2,1.0,8° a 11° andar,sim,sim,sim,R$ 5.000,R$ 1.116,R$ 231,R$ 64,R$ 129,R$ 6.540
https://www.quintoandar.com.br/imovel/894921270/alugar/kitnet-1-quarto-moema-sao-paulo?from_route=%22search_results%22&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A34%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 27m², 1 quarto e sem vaga",Condomínios em São Paulo,27,1,1,1,,Até 3° andar,não,sim,sim,R$ 3.650,R$ 545,R$ 83,R$ 47,R$ 94,R$ 4.419
https://www.quintoandar.com.br/imovel/893186808/alugar/kitnet-1-quarto-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A1%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 59m², 1 quarto e 1 vaga",Condomínios em São Paulo,59,1,1,2,1.0,4° a 7° andar,sim,sim,sim,R$ 4.600,R$ 1.116,R$ 209,R$ 59,R$ 119,R$ 6.103
https://www.quintoandar.com.br/imovel/894809938/alugar/apartamento-2-quartos-moema-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A9%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 44m², 2 quartos e sem vaga",Condomínios em São Paulo,44,2,0,1,,4° a 7° andar,sim,sim,sim,R$ 5.980,R$ 500,R$ 167,R$ 76,R$ 154,R$ 6.877
https://www.quintoandar.com.br/imovel/894945642/alugar/apartamento-3-quartos-moema-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A62%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 144m², 3 quartos e 4 vagas",Condomínios em São Paulo,144,3,3,3,4.0,12° a 15° andar,sim,não,sim,R$ 9.290,R$ 3.750,R$ 1.472,R$ 118,R$ 240,R$ 14.870
https://www.quintoandar.com.br/imovel/893193981/alugar/apartamento-1-quarto-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A54%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 50m², 1 quarto e 1 vaga",Condomínios em São Paulo,50,1,1,2,1.0,4° a 7° andar,sim,sim,sim,R$ 3.500,R$ 1.731,R$ 236,R$ 45,R$ 90,R$ 5.602
https://www.quintoandar.com.br/imovel/894532908/alugar/apartamento-2-quartos-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A79%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 69m², 2 quartos e 1 vaga",Condomínios em São Paulo,69,2,2,2,1.0,12° a 15° andar,sim,sim,sim,R$ 4.500,R$ 1.870,R$ 37,R$ 58,R$ 116,R$ 6.581
https://www.quintoandar.com.br/imovel/895072141/alugar/kitnet-1-quarto-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A10%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 27m², 1 quarto e sem vaga",Condomínios em São Paulo,27,1,1,1,,Até 3° andar,sim,não,sim,R$ 5.000,R$ 550,R$ 83,R$ 64,R$ 129,R$ 5.826
https://www.quintoandar.com.br/imovel/892800370/alugar/apartamento-3-quartos-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A84%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 87m², 3 quartos e 1 vaga",Condomínios em São Paulo,87,3,0,2,1.0,4° a 7° andar,sim,não,sim,R$ 4.600,R$ 1.200,R$ 252,R$ 59,R$ 119,R$ 6.230
https://www.quintoandar.com.br/imovel/894996942/alugar/kitnet-1-quarto-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 29m², 1 quarto e sem vaga",Condomínios em São Paulo,29,1,0,1,,12° a 15° andar,sim,sim,sim,R$ 3.660,R$ 650,R$ 459,R$ 47,R$ 94,R$ 4.910
https://www.quintoandar.com.br/imovel/895049483/alugar/kitnet-1-quarto-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A5%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 48m², 1 quarto e 1 vaga",Condomínios em São Paulo,48,1,1,1,1.0,20° a 23° andar,não,sim,sim,R$ 8.200,R$ 1.253,R$ 280,R$ 104,R$ 212,R$ 10.049
https://www.quintoandar.com.br/imovel/893622147/alugar/kitnet-1-quarto-moema-sao-paulo?from_route=%22search_results%22&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A78%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 91m², 1 quarto e 1 vaga",Condomínios em São Paulo,91,1,0,1,1.0,12° a 15° andar,sim,sim,sim,R$ 2.200,R$ 1.398,R$ 377,R$ 28,R$ 56,R$ 4.059
https://www.quintoandar.com.br/imovel/895040276/alugar/apartamento-4-quartos-moema-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22a876dc6b-7247-4c95-924a-12b8e3c77a1e%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A85%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 143m², 4 quartos e 3 vagas",Rua Pintassilgo,143,4,2,3,3.0,8° a 11° andar,sim,não,sim,R$ 15.000,R$ 2.750,R$ 1.125,R$ 191,R$ 388,R$ 19.454
