url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/892806271/alugar/kitnet-1-quarto-mooca-sao-paulo?from_route=%22search_results%22&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A90%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28 m²,28,0,1,,Até 3° andar,não,sim,sim,R$ 1.671,Incluso,R$ 0,R$ 22,R$ 43,R$ 1.736
https://www.quintoandar.com.br/imovel/895075400/alugar/apartamento-1-quarto-mooca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A79%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 29m², 1 quarto e sem vaga",Condomínios em São Paulo,29 m²,29,0,1,,Até 3° andar,sim,não,sim,R$ 1.700,R$ 420,R$ 0,R$ 22,R$ 44,R$ 2.186
https://www.quintoandar.com.br/imovel/895086204/alugar/apartamento-2-quartos-mooca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A47%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 35m², 2 quartos e sem vaga",Condomínios em São Paulo,35 m²,35,0,1,,16° a 19° andar,sim,não,sim,R$ 2.200,R$ 440,R$ 13,R$ 28,R$ 56,R$ 2.737
https://www.quintoandar.com.br/imovel/893416243/alugar/apartamento-2-quartos-mooca-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 52m², 2 quartos e 1 vaga",Condomínios em São Paulo,52 m²,52,0,1,1.0,8° a 11° andar,sim,não,sim,R$ 3.293,R$ 400,R$ 95,R$ 42,R$ 85,R$ 3.915
https://www.quintoandar.com.br/imovel/894963264/alugar/apartamento-1-quarto-mooca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A64%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 27m², 1 quarto e sem vaga",Condomínios em São Paulo,27 m²,27,0,1,,Até 3° andar,sim,não,não,R$ 1.500,R$ 367,R$ 17,R$ 20,R$ 38,R$ 1.942
https://www.quintoandar.com.br/imovel/895065383/alugar/apartamento-1-quarto-mooca-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A78%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30 m²,30,0,1,,8° a 11° andar,sim,não,sim,R$ 2.400,R$ 200,R$ 74,R$ 31,R$ 62,R$ 2.767
https://www.quintoandar.com.br/imovel/895006663/alugar/apartamento-1-quarto-mooca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A60%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 34m², 1 quarto e sem vaga",Condomínios em São Paulo,34 m²,34,1,1,,Até 3° andar,sim,não,sim,R$ 1.480,R$ 300,R$ 0,R$ 19,R$ 38,R$ 1.837
https://www.quintoandar.com.br/imovel/894699770/alugar/apartamento-3-quartos-mooca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A65%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 100m², 3 quartos e 2 vagas",Condomínios em São Paulo,100 m²,100,1,3,2.0,12° a 15° andar,sim,não,não,R$ 3.600,R$ 1.002,R$ 15,R$ 46,R$ 93,R$ 4.756
https://www.quintoandar.com.br/imovel/893279716/alugar/kitnet-1-quarto-mooca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentOnTermination&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A70%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 39m², 1 quarto e 1 vaga",Rua Guarapuava,39 m²,39,0,1,1.0,12° a 15° andar,sim,sim,sim,R$ 3.100,R$ 440,R$ 0,R$ 40,R$ 80,R$ 3.760
https://www.quintoandar.com.br/imovel/895045909/alugar/apartamento-2-quartos-mooca-sao-paulo?from_route=%22search_results%22&search_id=%22ffed4b28-ccfe-4ef6-a0d2-793a430885e9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A69%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 55m², 2 quartos e 1 vaga",Rua Andrade Reis,55 m²,55,1,2,1.0,12° a 15° andar,sim,sim,sim,R$ 3.500,R$ 700,R$ 0,R$ 45,R$ 90,R$ 4.335
