url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895101122/alugar/apartamento-1-quarto-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 43m², 1 quarto e sem vaga",Condomínios em São Paulo,43 m²,43,0,1,,4° a 7° andar,sim,não,sim,R$ 1.310,R$ 118,R$ 98,R$ 17,R$ 33,R$ 1.576
https://www.quintoandar.com.br/imovel/893526417/alugar/casa-3-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A1%2C%22personalization%22%3Afalse%7D,success,"Casa para alugar com 185m², 3 quartos e 3 vagas",Rua Jaborandi,185 m²,185,1,2,3.0,,sim,não,não,R$ 3.780,Incluso,R$ 100,R$ 63,R$ 97,R$ 4.040
https://www.quintoandar.com.br/imovel/895099733/alugar/apartamento-1-quarto-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A5%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 28m², 1 quarto e sem vaga",Rua Ingu,28 m²,28,1,1,,Até 3° andar,sim,não,sim,R$ 1.600,R$ 300,R$ 20,R$ 21,R$ 41,R$ 1.982
https://www.quintoandar.com.br/imovel/895057275/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A95%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 42m², 2 quartos e 1 vaga",Condomínios em São Paulo,42 m²,42,0,1,1.0,12° a 15° andar,sim,não,não,R$ 1.800,R$ 397,R$ 0,R$ 23,R$ 46,R$ 2.266
https://www.quintoandar.com.br/imovel/895039684/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A59%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 2 quartos e sem vaga",Rua Ingu,38 m²,38,0,1,,12° a 15° andar,sim,não,sim,R$ 1.500,R$ 400,R$ 0,R$ 20,R$ 38,R$ 1.958
https://www.quintoandar.com.br/imovel/895094110/alugar/apartamento-1-quarto-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A4%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 28m², 1 quarto e sem vaga",Rua Ingu,28 m²,28,1,1,,8° a 11° andar,sim,não,sim,R$ 1.450,R$ 500,R$ 0,R$ 19,R$ 37,R$ 2.006
https://www.quintoandar.com.br/imovel/894288063/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A68%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e sem vaga",Condomínios em São Paulo,40 m²,40,0,1,,Até 3° andar,não,não,sim,R$ 1.500,R$ 150,R$ 6,R$ 20,R$ 38,R$ 1.714
https://www.quintoandar.com.br/imovel/895075380/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A58%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 50m², 2 quartos e 1 vaga",Condomínios em São Paulo,50 m²,50,0,1,1.0,4° a 7° andar,sim,não,não,R$ 1.980,R$ 550,R$ 0,R$ 26,R$ 51,R$ 2.607
https://www.quintoandar.com.br/imovel/895096134/alugar/apartamento-1-quarto-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 29m², 1 quarto e sem vaga",Condomínios em São Paulo,29 m²,29,0,1,,4° a 7° andar,sim,não,sim,R$ 1.500,R$ 350,R$ 0,R$ 20,R$ 38,R$ 1.908
https://www.quintoandar.com.br/imovel/895058155/alugar/apartamento-1-quarto-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A3%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 27m², 1 quarto e sem vaga",Rua Ingu,27 m²,27,1,1,,16° a 19° andar,sim,não,sim,R$ 2.500,Incluso,R$ 0,R$ 32,R$ 64,R$ 2.596
https://www.quintoandar.com.br/imovel/895053253/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A71%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 75m², 2 quartos e sem vaga",Rua Nunes de Siqueira,75 m²,75,0,2,,Até 3° andar,sim,sim,não,R$ 2.000,R$ 600,R$ 0,R$ 26,R$ 51,R$ 2.677
https://www.quintoandar.com.br/imovel/893353832/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A57%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 46m², 2 quartos e 1 vaga",Condomínios em São Paulo,46 m²,46,0,1,1.0,16° a 19° andar,sim,não,não,R$ 1.617,R$ 380,R$ 9,R$ 21,R$ 41,R$ 2.068
https://www.quintoandar.com.br/imovel/894964682/alugar/casa-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A84%2C%22personalization%22%3Atrue%7D,success,"Casa de condomínio para alugar com 42m², 2 quartos e sem vaga",Condomínios em São Paulo,42 m²,42,0,1,,,não,não,sim,R$ 1.303,Incluso,R$ 130,R$ 22,R$ 33,R$ 1.488
https://www.quintoandar.com.br/imovel/895095998/alugar/casa-3-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A6%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 27m², 3 quartos e sem vaga",Rua Ingu,27 m²,27,0,1,,Até 3° andar,sim,não,sim,R$ 1.300,R$ 250,R$ 7,R$ 22,R$ 33,R$ 1.612
https://www.quintoandar.com.br/imovel/895089045/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A50%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 35m², 2 quartos e 1 vaga",Condomínios em São Paulo,35 m²,35,0,1,1.0,16° a 19° andar,sim,não,sim,R$ 2.000,R$ 300,R$ 0,R$ 26,R$ 51,R$ 2.377
https://www.quintoandar.com.br/imovel/894288078/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A25%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e sem vaga",Condomínios em São Paulo,40 m²,40,0,1,,Até 3° andar,não,não,sim,R$ 1.600,R$ 150,R$ 6,R$ 21,R$ 41,R$ 1.818
https://www.quintoandar.com.br/imovel/894194690/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A90%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 51m², 2 quartos e 1 vaga",Condomínios em São Paulo,51 m²,51,0,1,1.0,4° a 7° andar,sim,não,sim,R$ 1.800,R$ 1.010,R$ 7,R$ 23,R$ 46,R$ 2.886
https://www.quintoandar.com.br/imovel/895088015/alugar/casa-3-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A93%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 300m², 3 quartos e 4 vagas",Rua Wolstein,300 m²,300,1,4,4.0,,sim,não,não,R$ 7.000,Incluso,R$ 334,R$ 116,R$ 181,R$ 7.631
https://www.quintoandar.com.br/imovel/895087176/alugar/casa-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A67%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 115m², 2 quartos e 1 vaga",Rua Pedro Alegretti,115 m²,115,0,1,1.0,,sim,não,não,R$ 2.500,Incluso,R$ 128,R$ 42,R$ 64,R$ 2.734
https://www.quintoandar.com.br/imovel/895094111/alugar/apartamento-2-quartos-penha-de-franca-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22f2473864-4ba6-4657-bd0a-9968ce0c8025%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A62%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 44m², 2 quartos e 1 vaga",Condomínios em São Paulo,44 m²,44,0,1,1.0,Até 3° andar,não,não,não,R$ 2.200,R$ 300,R$ 0,R$ 28,R$ 56,R$ 2.584
