url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894369890/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A84%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 38m², 1 quarto e sem vaga",Avenida Rebouças,38 m²,38,0,1,,12° a 15° andar,sim,sim,sim,R$ 5.000,R$ 600,R$ 0,R$ 64,R$ 129,R$ 5.793
https://www.quintoandar.com.br/imovel/894283859/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A78%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 39m², 1 quarto e 1 vaga",Rua Alves Guimarães,39 m²,39,1,1,1.0,4° a 7° andar,sim,sim,sim,R$ 4.550,R$ 900,R$ 67,R$ 58,R$ 117,R$ 5.692
https://www.quintoandar.com.br/imovel/894849278/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A27%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28 m²,28,0,1,,12° a 15° andar,não,sim,sim,R$ 3.800,R$ 670,R$ 109,R$ 49,R$ 98,R$ 4.726
https://www.quintoandar.com.br/imovel/895079611/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A22%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 53m², 1 quarto e 1 vaga",Rua Mourato Coelho,53 m²,53,1,1,1.0,4° a 7° andar,sim,sim,sim,R$ 4.500,R$ 1.200,R$ 255,R$ 58,R$ 116,R$ 6.129
https://www.quintoandar.com.br/imovel/894832947/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A16%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25 m²,25,0,1,,4° a 7° andar,não,sim,sim,R$ 2.900,R$ 370,R$ 0,R$ 37,R$ 75,R$ 3.382
https://www.quintoandar.com.br/imovel/893176411/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A86%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 50m², 1 quarto e 1 vaga",,50 m²,50,0,1,1.0,8° a 11° andar,sim,sim,sim,R$ 5.000,R$ 790,R$ 292,R$ 64,R$ 129,R$ 6.275
https://www.quintoandar.com.br/imovel/894142480/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A18%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 37m², 1 quarto e 1 vaga",Condomínios em São Paulo,37 m²,37,1,1,1.0,8° a 11° andar,sim,sim,sim,R$ 4.500,R$ 492,R$ 188,R$ 58,R$ 116,R$ 5.354
https://www.quintoandar.com.br/imovel/894588444/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A6%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 32m², 1 quarto e sem vaga",Condomínios em São Paulo,32 m²,32,0,1,,Até 3° andar,sim,sim,sim,R$ 3.000,R$ 420,R$ 30,R$ 39,R$ 77,R$ 3.566
https://www.quintoandar.com.br/imovel/894513680/alugar/kitnet-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 26m², 1 quarto e sem vaga",Condomínios em São Paulo,26 m²,26,1,1,,8° a 11° andar,não,sim,sim,R$ 3.300,R$ 470,R$ 0,R$ 42,R$ 85,R$ 3.897
https://www.quintoandar.com.br/imovel/894880921/alugar/apartamento-1-quarto-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22f4e74521-9d32-4e2c-ba59-786b94ca58db%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A28%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 33m², 1 quarto e 1 vaga",Condomínios em São Paulo,33 m²,33,1,1,1.0,Até 3° andar,não,sim,sim,R$ 4.600,R$ 1.250,R$ 167,R$ 59,R$ 119,R$ 6.195
