url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894944366/alugar/apartamento-2-quartos-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A91%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 54m², 2 quartos e 1 vaga",Condomínios em São Paulo,54 m²,54,0,1,1.0,20° a 23° andar,sim,não,sim,R$ 4.900,R$ 716,R$ 182,R$ 63,R$ 126,R$ 5.987
https://www.quintoandar.com.br/imovel/894522923/alugar/casa-3-quartos-santo-amaro-sao-paulo?from_route=%22search_results%22&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A36%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 140m², 3 quartos e 2 vagas",Rua Cancioneiro Popular,140 m²,140,1,4,2.0,,sim,não,sim,R$ 4.530,Incluso,R$ 117,R$ 75,R$ 117,R$ 4.839
https://www.quintoandar.com.br/imovel/894558574/alugar/apartamento-2-quartos-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 66m², 2 quartos e 2 vagas",Condomínios em São Paulo,66 m²,66,1,2,2.0,8° a 11° andar,sim,não,sim,R$ 3.999,R$ 1.000,R$ 274,R$ 51,R$ 103,R$ 5.427
https://www.quintoandar.com.br/imovel/894958177/alugar/apartamento-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A95%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30 m²,30,1,1,,8° a 11° andar,não,sim,sim,R$ 2.400,R$ 480,R$ 66,R$ 31,R$ 62,R$ 3.039
https://www.quintoandar.com.br/imovel/892819302/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A53%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 33m², 1 quarto e 1 vaga",Rua Henri Dunant,33 m²,33,1,1,1.0,8° a 11° andar,sim,sim,não,R$ 3.580,R$ 648,R$ 144,R$ 46,R$ 92,R$ 4.510
https://www.quintoandar.com.br/imovel/894960624/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A1%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 32m², 1 quarto e 1 vaga",Condomínios em São Paulo,32 m²,32,1,1,1.0,24° a 27° andar,sim,sim,sim,R$ 4.000,R$ 499,R$ 138,R$ 51,R$ 103,R$ 4.791
https://www.quintoandar.com.br/imovel/895083346/alugar/apartamento-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A61%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 35m², 1 quarto e 1 vaga",Condomínios em São Paulo,35 m²,35,0,1,1.0,8° a 11° andar,não,sim,sim,R$ 3.690,R$ 750,R$ 151,R$ 47,R$ 95,R$ 4.733
https://www.quintoandar.com.br/imovel/894510839/alugar/kitnet-0-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A6%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 29m², 0 quarto e sem vaga",Condomínios em São Paulo,29 m²,29,0,1,,4° a 7° andar,não,sim,sim,R$ 2.190,R$ 805,R$ 70,R$ 28,R$ 56,R$ 3.149
https://www.quintoandar.com.br/imovel/893107804/alugar/apartamento-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A56%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 45m², 1 quarto e 1 vaga",Rua Henri Dunant,45 m²,45,1,1,1.0,8° a 11° andar,sim,sim,não,R$ 4.390,R$ 900,R$ 84,R$ 56,R$ 113,R$ 5.543
https://www.quintoandar.com.br/imovel/894879807/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A25%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 26m², 1 quarto e sem vaga",Condomínios em São Paulo,26 m²,26,0,1,,12° a 15° andar,sim,sim,sim,R$ 2.650,R$ 360,R$ 69,R$ 34,R$ 68,R$ 3.181
https://www.quintoandar.com.br/imovel/894560174/alugar/apartamento-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A57%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 33m², 1 quarto e sem vaga",Condomínios em São Paulo,33 m²,33,1,1,,12° a 15° andar,sim,sim,sim,R$ 3.000,R$ 513,R$ 21,R$ 39,R$ 77,R$ 3.650
https://www.quintoandar.com.br/imovel/894599833/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A4%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24 m²,24,0,1,,4° a 7° andar,sim,sim,sim,R$ 2.790,R$ 350,R$ 100,R$ 36,R$ 72,R$ 3.348
https://www.quintoandar.com.br/imovel/894914281/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A18%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 26m², 1 quarto e sem vaga",Avenida Adolfo Pinheiro,26 m²,26,0,1,,4° a 7° andar,sim,sim,sim,R$ 1.900,R$ 430,R$ 90,R$ 25,R$ 49,R$ 2.494
https://www.quintoandar.com.br/imovel/895056921/alugar/apartamento-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A77%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 50m², 1 quarto e 1 vaga",Avenida Vereador José Diniz,50 m²,50,1,1,1.0,Até 3° andar,sim,sim,sim,R$ 4.550,R$ 350,R$ 0,R$ 58,R$ 117,R$ 5.075
https://www.quintoandar.com.br/imovel/895078614/alugar/apartamento-3-quartos-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A78%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 88m², 3 quartos e 1 vaga",Condomínios em São Paulo,88 m²,88,1,2,1.0,16° a 19° andar,não,não,sim,R$ 5.613,R$ 647,R$ 187,R$ 72,R$ 145,R$ 6.664
https://www.quintoandar.com.br/imovel/893859888/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A90%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Avenida Vereador José Diniz,25 m²,25,0,1,,24° a 27° andar,sim,sim,sim,R$ 2.780,R$ 420,R$ 69,R$ 36,R$ 72,R$ 3.377
https://www.quintoandar.com.br/imovel/894510842/alugar/kitnet-0-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A8%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 31m², 0 quarto e sem vaga",Condomínios em São Paulo,31 m²,31,0,1,,4° a 7° andar,não,sim,sim,R$ 2.290,R$ 838,R$ 104,R$ 30,R$ 59,R$ 3.321
https://www.quintoandar.com.br/imovel/895056821/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A63%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24 m²,24,0,1,,12° a 15° andar,sim,sim,sim,R$ 2.800,R$ 600,R$ 0,R$ 36,R$ 72,R$ 3.508
https://www.quintoandar.com.br/imovel/892869420/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A3%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 38m², 1 quarto e sem vaga",Condomínios em São Paulo,38 m²,38,0,1,,Até 3° andar,sim,não,sim,R$ 1.990,R$ 400,R$ 0,R$ 26,R$ 51,R$ 2.467
https://www.quintoandar.com.br/imovel/894857682/alugar/kitnet-1-quarto-santo-amaro-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22c29fc81a-dacc-4208-ad07-b5d8639dd622%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A20%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25 m²,25,0,1,,4° a 7° andar,não,sim,sim,R$ 2.500,R$ 350,R$ 47,R$ 32,R$ 64,R$ 2.993
