url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895054370/alugar/apartamento-2-quartos-parque-sonia-sao-paulo?from_route=%22search_results%22&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A25%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e 1 vaga",Condomínios em São Paulo,40,2,0,1,1.0,Até 3° andar,não,não,não,R$ 1.700,R$ 100,R$ 0,R$ 22,R$ 44,R$ 1.866
https://www.quintoandar.com.br/imovel/893380080/alugar/casa-3-quartos-parque-sonia-sao-paulo?from_route=%22search_results%22&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A8%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 277m², 3 quartos e 5 vagas",Rua Torixoréu,277,3,1,3,5.0,,sim,sim,sim,R$ 5.900,R$ 0,R$ 225,R$ 98,R$ 152,R$ 6.375
https://www.quintoandar.com.br/imovel/894604854/alugar/apartamento-2-quartos-jardim-sao-vicente-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A70%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 48m², 2 quartos e 1 vaga",Condomínios em São Paulo,48,2,0,1,1.0,Até 3° andar,sim,não,não,R$ 1.850,R$ 200,R$ 167,R$ 24,R$ 47,R$ 2.288
https://www.quintoandar.com.br/imovel/894494196/alugar/kitnet-2-quartos-vila-norma-sao-paulo?from_route=%22search_results%22&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A57%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 35m², 2 quartos e sem vaga",Avenida São Miguel,35,2,0,1,,8° a 11° andar,não,não,não,R$ 1.300,R$ 400,R$ 0,R$ 17,R$ 33,R$ 1.750
https://www.quintoandar.com.br/imovel/895054386/alugar/apartamento-2-quartos-parque-sonia-sao-paulo?from_route=%22search_results%22&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A18%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e 1 vaga",Condomínios em São Paulo,40,2,0,1,1.0,4° a 7° andar,não,não,não,R$ 1.700,R$ 100,R$ 0,R$ 22,R$ 44,R$ 1.866
https://www.quintoandar.com.br/imovel/893950596/alugar/casa-4-quartos-cidade-sao-miguel-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A49%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 360m², 4 quartos e 4 vagas",Rua João Cândido Viêira,360,4,1,5,4.0,,não,não,não,R$ 7.000,R$ 0,R$ 292,R$ 116,R$ 182,R$ 7.408
https://www.quintoandar.com.br/imovel/895036212/alugar/casa-4-quartos-vila-doutor-eiras-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A17%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 162m², 4 quartos e 2 vagas",Rua da Maçonaria,162,4,1,4,2.0,,sim,não,sim,R$ 3.600,Incluso,R$ 186,R$ 60,R$ 93,R$ 3.939
https://www.quintoandar.com.br/imovel/894771029/alugar/casa-2-quartos-jardim-alto-pedroso-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A10%2C%22personalization%22%3Afalse%7D,success,"Casa para alugar com 110m², 2 quartos e 1 vaga",Rua Estanislau de Miranda,110,2,0,1,1.0,,não,não,não,R$ 1.615,Incluso,R$ 184,R$ 27,R$ 41,R$ 1.867
https://www.quintoandar.com.br/imovel/895053270/alugar/apartamento-2-quartos-parque-sonia-sao-paulo?from_route=%22search_results%22&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A36%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e 1 vaga",Condomínios em São Paulo,40,2,0,1,1.0,Até 3° andar,não,não,não,R$ 1.700,R$ 100,R$ 0,R$ 22,R$ 44,R$ 1.866
https://www.quintoandar.com.br/imovel/893880262/alugar/apartamento-2-quartos-vila-rosaria-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%220b7b56aa-497b-4738-927a-8dbecd89ebb9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A73%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 62m², 2 quartos e 1 vaga",Condomínios em São Paulo,62,2,0,1,1.0,8° a 11° andar,sim,não,não,R$ 2.520,R$ 550,R$ 0,R$ 32,R$ 65,R$ 3.167
