url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894885785/alugar/kitnet-1-quarto-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24 m²,24,0,1,,8° a 11° andar,sim,sim,sim,R$ 3.350,R$ 530,R$ 19,R$ 43,R$ 86,R$ 4.028
https://www.quintoandar.com.br/imovel/893375637/alugar/kitnet-1-quarto-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A26%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 22m², 1 quarto e sem vaga",Condomínios em São Paulo,22 m²,22,1,1,,Até 3° andar,não,sim,sim,R$ 1.200,R$ 250,R$ 74,R$ 16,R$ 31,R$ 1.571
https://www.quintoandar.com.br/imovel/893392434/alugar/apartamento-2-quartos-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A16%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 70m², 2 quartos e 2 vagas",Condomínios em São Paulo,70 m²,70,0,1,2.0,8° a 11° andar,sim,não,sim,R$ 2.800,R$ 1.042,R$ 256,R$ 36,R$ 72,R$ 4.206
https://www.quintoandar.com.br/imovel/894759153/alugar/apartamento-2-quartos-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A74%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 52m², 2 quartos e 1 vaga",Rua Arnaldo Cintra,52 m²,52,0,1,1.0,16° a 19° andar,sim,não,não,R$ 2.150,R$ 590,R$ 112,R$ 28,R$ 55,R$ 2.935
https://www.quintoandar.com.br/imovel/894705078/alugar/apartamento-1-quarto-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A3%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 1 quarto e 1 vaga",Condomínios em São Paulo,40 m²,40,1,1,1.0,Até 3° andar,sim,não,sim,R$ 2.600,R$ 736,R$ 8,R$ 33,R$ 67,R$ 3.444
https://www.quintoandar.com.br/imovel/895036028/alugar/kitnet-1-quarto-tatuape-sao-paulo?from_route=%22search_results%22&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A46%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24 m²,24,1,1,,Até 3° andar,sim,sim,sim,R$ 2.300,R$ 580,R$ 23,R$ 30,R$ 59,R$ 2.992
https://www.quintoandar.com.br/imovel/895090187/alugar/apartamento-3-quartos-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A73%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 73m², 3 quartos e 1 vaga",Rua Vilela,73 m²,73,1,2,1.0,8° a 11° andar,não,não,sim,R$ 4.400,R$ 950,R$ 234,R$ 56,R$ 113,R$ 5.753
https://www.quintoandar.com.br/imovel/894417072/alugar/apartamento-3-quartos-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A71%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 125m², 3 quartos e 3 vagas",Rua Coronel Carlos Oliva,125 m²,125,3,3,3.0,12° a 15° andar,sim,sim,sim,R$ 10.500,R$ 1.299,R$ 792,R$ 134,R$ 271,R$ 12.996
https://www.quintoandar.com.br/imovel/895014741/alugar/apartamento-1-quarto-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A12%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 31m², 1 quarto e sem vaga",Condomínios em São Paulo,31 m²,31,0,1,,8° a 11° andar,sim,não,sim,R$ 1.658,R$ 542,R$ 0,R$ 22,R$ 42,R$ 2.264
https://www.quintoandar.com.br/imovel/894923037/alugar/apartamento-2-quartos-tatuape-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2287162662-853f-40ad-aaae-3298e606e0a9%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A83%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 80m², 2 quartos e 2 vagas",Condomínios em São Paulo,80 m²,80,2,2,2.0,12° a 15° andar,sim,não,não,R$ 4.360,R$ 1.235,R$ 267,R$ 56,R$ 112,R$ 6.030
