url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894952223/alugar/kitnet-1-quarto-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A54%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28 m²,28,0,1,,4° a 7° andar,sim,não,sim,R$ 1.750,R$ 700,R$ 0,R$ 23,R$ 45,R$ 2.518
https://www.quintoandar.com.br/imovel/895090434/alugar/casa-3-quartos-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A4%2C%22personalization%22%3Afalse%7D,success,"Casa para alugar com 61m², 3 quartos e sem vaga",Condomínios em São Paulo,61 m²,61,0,1,,Até 3° andar,sim,não,sim,R$ 2.300,R$ 300,R$ 0,R$ 39,R$ 59,R$ 2.698
https://www.quintoandar.com.br/imovel/894608438/alugar/apartamento-1-quarto-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 22m², 1 quarto e sem vaga",Condomínios em São Paulo,22 m²,22,0,1,,Até 3° andar,sim,sim,sim,R$ 1.924,R$ 123,R$ 100,R$ 25,R$ 49,R$ 2.221
https://www.quintoandar.com.br/imovel/895011000/alugar/apartamento-1-quarto-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A22%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 27m², 1 quarto e sem vaga",Condomínios em São Paulo,27 m²,27,0,1,,4° a 7° andar,não,não,sim,R$ 1.700,R$ 450,R$ 0,R$ 22,R$ 44,R$ 2.216
https://www.quintoandar.com.br/imovel/894608438/alugar/apartamento-1-quarto-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A2%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 22m², 1 quarto e sem vaga",Condomínios em São Paulo,22 m²,22,0,1,,Até 3° andar,sim,sim,sim,R$ 1.924,R$ 123,R$ 100,R$ 25,R$ 49,R$ 2.221
https://www.quintoandar.com.br/imovel/893207483/alugar/apartamento-3-quartos-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A93%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 83m², 3 quartos e 2 vagas",Condomínios em São Paulo,83 m²,83,1,2,2.0,Até 3° andar,sim,sim,sim,R$ 3.500,R$ 1.321,R$ 292,R$ 45,R$ 90,R$ 5.248
https://www.quintoandar.com.br/imovel/895093772/alugar/apartamento-2-quartos-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A0%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 50m², 2 quartos e 1 vaga",Condomínios em São Paulo,50 m²,50,1,2,1.0,4° a 7° andar,não,não,sim,R$ 4.000,R$ 550,R$ 2,R$ 51,R$ 103,R$ 4.706
https://www.quintoandar.com.br/imovel/895044644/alugar/apartamento-2-quartos-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A67%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 39m², 2 quartos e sem vaga",Condomínios em São Paulo,39 m²,39,0,1,,8° a 11° andar,sim,sim,sim,R$ 2.500,R$ 400,R$ 0,R$ 32,R$ 64,R$ 2.996
https://www.quintoandar.com.br/imovel/894782318/alugar/apartamento-2-quartos-tucuruvi-sao-paulo?from_route=%22search_results%22&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A68%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 44m², 2 quartos e sem vaga",Condomínios em São Paulo,44 m²,44,0,1,,Até 3° andar,sim,não,sim,R$ 1.950,R$ 200,R$ 109,R$ 25,R$ 50,R$ 2.334
https://www.quintoandar.com.br/imovel/893976491/alugar/casa-1-quarto-tucuruvi-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A11%2C%22personalization%22%3Afalse%7D,success,"Casa para alugar com 40m², 1 quarto e sem vaga",Condomínios em São Paulo,40 m²,40,0,1,,,sim,não,sim,R$ 1.450,Incluso,R$ 138,R$ 24,R$ 37,R$ 1.649
https://www.quintoandar.com.br/imovel/894012522/alugar/apartamento-2-quartos-tucuruvi-sao-paulo?from_route=%22search_results%22&search_id=%225ca677f7-69f6-451b-b9a2-145a0adec90c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A62%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 40m², 2 quartos e 1 vaga",Condomínios em São Paulo,40 m²,40,0,1,1.0,Até 3° andar,sim,não,sim,R$ 2.300,R$ 310,R$ 0,R$ 30,R$ 59,R$ 2.699
