url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894828221/alugar/apartamento-3-quartos-vila-hamburguesa-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A92%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 232m², 3 quartos e 4 vagas",Condomínios em São Paulo,232 m²,232,3,3,4.0,Até 3° andar,sim,não,não,R$ 15.470,R$ 2.875,R$ 180,R$ 197,R$ 400,R$ 19.122
https://www.quintoandar.com.br/imovel/895025717/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A85%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 89m², 2 quartos e 2 vagas",Condomínios em São Paulo,89 m²,89,1,2,2.0,8° a 11° andar,sim,não,sim,R$ 7.500,R$ 1.250,R$ 400,R$ 96,R$ 194,R$ 9.440
https://www.quintoandar.com.br/imovel/895088330/alugar/apartamento-1-quarto-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A61%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 104m², 1 quarto e 2 vagas",Rua Matias Roxo,104 m²,104,1,3,2.0,16° a 19° andar,sim,não,sim,R$ 6.900,R$ 1.050,R$ 349,R$ 88,R$ 178,R$ 8.565
https://www.quintoandar.com.br/imovel/893326281/alugar/casa-1-quarto-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A80%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 40m², 1 quarto e 1 vaga",Rua Xambicá,40 m²,40,0,1,1.0,,não,não,não,R$ 3.250,Incluso,R$ 156,R$ 54,R$ 84,R$ 3.544
https://www.quintoandar.com.br/imovel/895036213/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A20%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 34m², 2 quartos e sem vaga",Rua Xavier Krauss,34 m²,34,0,1,,4° a 7° andar,sim,não,sim,R$ 2.690,R$ 571,R$ 0,R$ 35,R$ 69,R$ 3.365
https://www.quintoandar.com.br/imovel/892974110/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A10%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 72m², 2 quartos e 1 vaga",Condomínios em São Paulo,72 m²,72,2,2,1.0,Até 3° andar,sim,não,não,R$ 3.400,R$ 720,R$ 284,R$ 44,R$ 88,R$ 4.536
https://www.quintoandar.com.br/imovel/895076352/alugar/apartamento-2-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A50%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 33m², 2 quartos e sem vaga",Condomínios em São Paulo,33 m²,33,0,1,,Até 3° andar,sim,não,sim,R$ 2.000,R$ 570,R$ 0,R$ 26,R$ 51,R$ 2.647
https://www.quintoandar.com.br/imovel/893929553/alugar/apartamento-1-quarto-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A4%2C%22personalization%22%3Afalse%7D,success,"Apartamento para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30 m²,30,0,1,,Até 3° andar,sim,não,não,R$ 1.622,R$ 456,R$ 0,R$ 21,R$ 42,R$ 2.141
https://www.quintoandar.com.br/imovel/894955308/alugar/apartamento-3-quartos-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A21%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 69m², 3 quartos e 1 vaga",Condomínios em São Paulo,69 m²,69,1,2,1.0,Até 3° andar,sim,não,não,R$ 4.100,R$ 1.264,R$ 15,R$ 52,R$ 106,R$ 5.537
https://www.quintoandar.com.br/imovel/893058191/alugar/apartamento-1-quarto-vila-leopoldina-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%2210d800ba-1475-4b4f-8bf4-242b180580d2%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A14%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 51m², 1 quarto e 1 vaga",Condomínios em São Paulo,51 m²,51,0,1,1.0,24° a 27° andar,sim,sim,não,R$ 3.460,R$ 955,R$ 182,R$ 44,R$ 89,R$ 4.730
