url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/894911983/alugar/casa-3-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A86%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 150m², 3 quartos e 2 vagas",Rua Visconde de Araruama,150,3,1,4,2.0,,sim,não,sim,R$ 9.000,Incluso,R$ 481,R$ 149,R$ 233,R$ 9.863
https://www.quintoandar.com.br/imovel/894610289/alugar/apartamento-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A39%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1,1,1,,Até 3° andar,sim,não,não,R$ 2.600,R$ 750,R$ 85,R$ 33,R$ 67,R$ 3.535
https://www.quintoandar.com.br/imovel/895071407/alugar/apartamento-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A43%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 49m², 1 quarto e 1 vaga",Condomínios em São Paulo,49,1,1,1,1.0,4° a 7° andar,sim,sim,sim,R$ 5.300,R$ 450,R$ 10,R$ 68,R$ 137,R$ 5.965
https://www.quintoandar.com.br/imovel/894863113/alugar/apartamento-2-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A33%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 64m², 2 quartos e 1 vaga",Rua Pascoal Vita,64,2,0,2,1.0,Até 3° andar,sim,não,sim,R$ 3.070,R$ 1.585,R$ 130,R$ 39,R$ 79,R$ 4.903
https://www.quintoandar.com.br/imovel/894924551/alugar/apartamento-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 35m², 1 quarto e 1 vaga",Rua Natingui,35,1,1,1,1.0,Até 3° andar,sim,sim,não,R$ 3.800,R$ 550,R$ 45,R$ 49,R$ 98,R$ 4.542
https://www.quintoandar.com.br/imovel/894669266/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A66%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28,1,0,1,,4° a 7° andar,sim,sim,não,R$ 3.100,R$ 950,R$ 84,R$ 40,R$ 80,R$ 4.254
https://www.quintoandar.com.br/imovel/895098061/alugar/apartamento-2-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A19%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 59m², 2 quartos e 1 vaga",Condomínios em São Paulo,59,2,0,1,1.0,Até 3° andar,não,não,sim,R$ 3.100,R$ 979,R$ 230,R$ 40,R$ 80,R$ 4.429
https://www.quintoandar.com.br/imovel/894892919/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A55%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 30m², 1 quarto e sem vaga",Condomínios em São Paulo,30,1,0,1,,Até 3° andar,não,sim,sim,R$ 2.400,R$ 571,R$ 155,R$ 31,R$ 62,R$ 3.219
https://www.quintoandar.com.br/imovel/893729825/alugar/apartamento-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A36%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1,1,1,,Até 3° andar,sim,sim,sim,R$ 2.500,R$ 560,R$ 117,R$ 32,R$ 64,R$ 3.273
https://www.quintoandar.com.br/imovel/894959115/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A81%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 32m², 1 quarto e sem vaga",Condomínios em São Paulo,32,1,1,1,,4° a 7° andar,sim,sim,sim,R$ 3.420,R$ 555,R$ 98,R$ 44,R$ 88,R$ 4.205
https://www.quintoandar.com.br/imovel/894855238/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A82%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 32m², 1 quarto e 1 vaga",Condomínios em São Paulo,32,1,0,1,1.0,Até 3° andar,sim,não,sim,R$ 3.280,R$ 1.200,R$ 417,R$ 42,R$ 84,R$ 5.023
https://www.quintoandar.com.br/imovel/894955627/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A11%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28,1,0,1,,4° a 7° andar,não,sim,não,R$ 3.500,R$ 943,R$ 0,R$ 45,R$ 90,R$ 4.578
https://www.quintoandar.com.br/imovel/894947134/alugar/kitnet-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A30%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1,1,1,,8° a 11° andar,sim,sim,não,R$ 2.640,R$ 1.000,R$ 62,R$ 34,R$ 68,R$ 3.804
https://www.quintoandar.com.br/imovel/892919767/alugar/casa-3-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A68%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 180m², 3 quartos e 2 vagas",Rua Gomes de Medeiros,180,3,1,5,2.0,,sim,não,sim,R$ 8.000,Incluso,R$ 334,R$ 133,R$ 207,R$ 8.674
https://www.quintoandar.com.br/imovel/894053623/alugar/apartamento-1-quarto-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%225a39f3da-57b7-4b07-835e-88a84812198c%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A41%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 32m², 1 quarto e 1 vaga",Condomínios em São Paulo,32,1,0,1,1.0,4° a 7° andar,sim,não,não,R$ 3.500,R$ 600,R$ 44,R$ 45,R$ 90,R$ 4.279
