url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895102000/alugar/kitnet-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=newAd&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A13%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 23m², 1 quarto e sem vaga",Condomínios em São Paulo,23,1.0,1,1,,Até 3° andar,sim,sim,sim,R$ 2.100,R$ 722,R$ 100,R$ 27,R$ 54,R$ 3.003
https://www.quintoandar.com.br/imovel/895045951/alugar/apartamento-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A74%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 38m², 1 quarto e sem vaga",Condomínios em São Paulo,38,1.0,0,1,,Até 3° andar,sim,sim,sim,R$ 3.060,R$ 570,R$ 92,R$ 39,R$ 79,R$ 3.840
https://www.quintoandar.com.br/imovel/894002145/alugar/kitnet-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A18%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 21m², 1 quarto e sem vaga",Condomínios em São Paulo,21,1.0,1,1,,12° a 15° andar,não,sim,sim,R$ 2.500,R$ 670,R$ 0,R$ 32,R$ 64,R$ 3.266
https://www.quintoandar.com.br/imovel/895042019/alugar/apartamento-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A23%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 42m², 1 quarto e sem vaga",Condomínios em São Paulo,42,1.0,0,1,,12° a 15° andar,sim,sim,não,R$ 3.900,R$ 810,R$ 0,R$ 50,R$ 101,R$ 4.861
https://www.quintoandar.com.br/imovel/893381448/alugar/apartamento-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A78%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 41m², 1 quarto e 1 vaga",Rua Doutor Pinto Ferraz,41,1.0,0,1,1.0,Até 3° andar,sim,sim,sim,R$ 3.500,R$ 1.007,R$ 13,R$ 45,R$ 90,R$ 4.655
https://www.quintoandar.com.br/imovel/894615447/alugar/kitnet-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A60%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 28m², 1 quarto e sem vaga",Condomínios em São Paulo,28,1.0,0,1,,Até 3° andar,sim,sim,sim,R$ 2.600,R$ 680,R$ 106,R$ 33,R$ 67,R$ 3.486
https://www.quintoandar.com.br/imovel/895090523/alugar/kitnet-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A7%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 26m², 1 quarto e sem vaga",Condomínios em São Paulo,26,1.0,1,1,,12° a 15° andar,sim,sim,sim,R$ 3.490,R$ 700,R$ 38,R$ 45,R$ 90,R$ 4.363
https://www.quintoandar.com.br/imovel/894023169/alugar/apartamento-2-quartos-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A38%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 67m², 2 quartos e 1 vaga",Condomínios em São Paulo,67,2.0,1,2,1.0,4° a 7° andar,sim,sim,sim,R$ 5.500,R$ 980,R$ 365,R$ 70,R$ 142,R$ 7.057
https://www.quintoandar.com.br/imovel/894567678/alugar/kitnet-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=newAd&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A9%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 22m², 1 quarto e sem vaga",Rua Coronel Lisboa,22,1.0,0,1,,8° a 11° andar,sim,sim,sim,R$ 2.410,R$ 416,R$ 71,R$ 31,R$ 62,R$ 2.990
https://www.quintoandar.com.br/imovel/893943128/alugar/kitnet-1-quarto-vila-mariana-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22ee837478-aaaf-4599-b0d9-c522e0c0e8a1%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A76%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 22m², 1 quarto e sem vaga",Condomínios em São Paulo,22,1.0,1,1,,16° a 19° andar,não,sim,sim,R$ 2.350,R$ 400,R$ 84,R$ 30,R$ 60,R$ 2.924
